Job Title,Job Description,Job Sector,Salary Range,Date published,Contact,Company_name
Үйлчлэгч ажилд авна. ,"- Оффисын өөрт ногдох хувиарлагдсан талбайн цэвэрлэгээ, үйлчилгээг хариуцан ажиллана.  - АБТ-д заасан бусад чиг үүргүүд",Үйлчилгээ,900000.0,2022-12-16,"99020615, 77997799",Жем Интернэшнл 
БАРИСТА ,"Бариста хийж байсан туршлагагүй байж болно. Бид таныг сургана.    /Туршлагатай бол Ээлжийн ахлахаар ажилд авна/   АЖЛЫН ЦАГ 07:00-21:00. 1 гараад 1 амарна, 1 удаа хагас цагаар ажиллана.   Карьер хөгжил = Бариста - Ээлжийн ахлах - Салбарын менежер","Ресторан, Хоол үйлдвэрлэл",1100000.0,2022-12-16,75057555 /2/,Наран Трейд 
ТООЦООНЫ НЯГТЛАН,"АЖЛЫН БАЙРНЫ ТОДОРХОЙЛОЛТЫН ДАГУУ ЧИГ ҮҮРЭГ ХЭРЭГЖҮҮЛНЭ.   ТАНЫГ БАЙГАЛИЙН САЙХАН БҮРДСЭН ЭКО ОРЧИН, АЯ ТУХТАЙ ТОХИЛОГ АЖЛЫН БАЙР, НАЙРСАГ МЭРГЭЖЛИЙН ЗАЛУУ ХАМТ ОЛОН, ЗАХ ЗЭЭЛД ӨРСӨЛДӨХҮЙЦ ӨНДӨР ЦАЛИН, УРАМШУУЛАЛ, ТУСГАЙ ХАНГАМЖ, ӨСӨН ДЭВШИХ БҮХИЙ Л БОЛОМЖУУД ХҮЛЭЭЖ БАЙНА.","Аялал жуулчлал, зочид буудал",1350000.0,2022-12-16,99057450,Грандмед эмнэлэг Эрүүл монгол хүний төлөө
Байгууллагын борлуулалтын мэргэжилтэн," Байгууллагын борлуулалттай холбоотой бүхий л идэвхтэй үйл ажиллагаа явуулж ажиллана: утсаар холбогдох, уулзалт хийх, байгууллагын худалдан авалтын процесс, шийдвэр гаргалтын бүтцийн талаар судалгаа хийх, харилцааны менежмент.  Харилцагч байгууллагатай гэрээ хэлэлцээр хийх.  Борлуулалтын төлөвлөгөө боловсруулах, үр дүнд хүрэх арга замыг тодорхойлох Маркетингийн үйл ажиллагааг дэмжиж ажиллах Зах зээлийн судалгаа, өрсөлдөгчийн судалгаа хийх","Худалдаа, Борлуулалт",1650000.0,2022-12-16,"7711 3080, 8810 8887, 88108786",ПРОГРИД СИСТЕМС 
Сантехникийн засварчин,- Цэвэр бохир ус дулааны шугамд гарсан гэмтэл ослын үед шуурхай арга хэмжээ авч ажиллах - Хариуцсан байрны узель цэвэр цэмцгэр байдалд анхаарах - Оршин суугчдаас ирсэн дуудлагын дагуу засвар үйлчилгээ хийн төлбөрийг барагдуулах - Инженерүүдээс өгсөн үүрэг даалгаврыг цаг хугацаанд нь чанартай биелүүлэх,"Барилга, Үл хөдлөх хөрөнгө",1100000.0,2022-12-16,"99082691, 96208082",Баатардулаан хан
Бүртгэлийн ажилтан,"-- Компанийн харилцагч нарыг хүлээн авах, өдөр тутмын үйл ажиллагаа зохион байгуулах --Үйлчлүүлэгч нарыг холбогдох мэдээллээр хангаж, бүртгэл хийх - Хүний нөөцийн хэсгийн үйл ажиллагаанд туслах, дэмжлэг үзүүлэх",Уул уурхай,1100000.0,2022-12-16,"94118033, 75779993   / 1 /",ХОС ХАС 
ЕРӨНХИЙ НЯГТЛАН БОДОГЧ," Тооцооны нягтлангуудын ажилд хяналт тавих, мэргэжил аргазүйгээр хангах Санхүүгийн үйл ажиллагааг зөв зохистой удирдан зохион байгуулах Хяналтыг оновчтой хэрэгжүүлэх Санхүүгийн тайлан балансыг цаг хугацаанд нь үнэн зөв гаргах, танилцуулах, тайлагнах Байгууллагын мөнгөн урсгалыг зөв зохион байгуулж удирдах","Банк, санхүү, нягтлан бодох бүртгэл",2300000.0,2022-11-16,"99016676, 77228811-205",Глобал Бридж ГруппДэлхийг таны гарт атгуулна.
ДОТООД ХЯНАЛТЫН АУДИТОР,"- Үйл ажиллагаа болон санхүүгийн дотоод аудитын эрсдэлд суурилсан хөтөлбөр боловсруулах, дотоод аудитыг гүйцэтгэх, тайлан дүгнэлт гаргах, зөвлөмж шийдэл өгөх, зөвлөмжийг эргэн хянах - Аудитын шалгалт ба дүгнэлтийг баримтжуулж, аудитын ажлын тайлан хянаж баталгаажуулах - Нэмэлтээр хийх бусад төлөвлөгөөт бус ажлууд болон хугацаатай үүрэг даалгаврууд - Ажлын чиг үүргийн хүрээнд салбар компаниудын үйл ажиллагаанд  уялдаа холбоотой, хамтарч ажиллана - Байгууллагын соёлыг бүрдүүлж, оффисын стандартыг дагаж мөрдөх - Байгууллагын батлагдсан дүрэм, журмын биелэлтийг хангуулах - Ажлын байрны тодорхойлолтод заагдсан бусад ажил үүргийг гүйцэтгэнэ.","Банк, санхүү, нягтлан бодох бүртгэл",2300000.0,2022-12-12,"88071731, 88071731",Орчлон Ко 
Далд уурхайн Засварын хэлтсийн ахлах,"- Засвар үйлчилгээний хэлтсийн ахлагчийн хувьд та өндөр гүйцэтгэлтэй багийг бүрдүүлэх, хадгалахад чухал үүрэг гүйцэтгэнэв - Компанийн төлөвлөгөөг биелүүлэхийн төлөө уурхайн алба, хэлтсүүдийн техник хэрэгсэл, машин механизм, тоног төхөөрөмжүүдийн өдөр тутмын тасралтгүй үйл ажиллагааг хангах, засвар үйлчилгээний төлөвлөгөөг үндэслэн засварын хэлтсийн ажилтнуудыг зохион байгуулах, удирдан хамтран гүйцэтгэх - Техник бүрээр бүтээмж, элэгдэл, засвар үйлчилгээний тухай бүртгэл хөтлүүлж, мэдээллийн бааз бүрдүүлүүлэх - Ажлын байрны тодорхойлолтын дагуу бусад ажил үүргүүд",Уул уурхай,3500000.0,2022-12-16,"89773232, 77773232","Naran Mandal Enterprises LLCАмжилтыг хурдан авах бол та ганцаараа алхаарай, Амжилттай удаан байхын тулд бид олуулаа алхдаг юм."
Үйл ажиллагаа хариуцсан менежер,- S пабын үйл ажиллагааг шууд удирдлагаар хангаж ажиллах - S пабын өдөр тутмын үйл ажиллагаа болон зохион байгуулагдаж буй арга хэмжээний үйл ажиллагаанд хяналт тавих -  Пабын ашиг орлогыг нэмэгдүүлэх төлөвлөгөө гарган ажиллах - Ажлын байрны тодорхойлолтод заасан чиг үүргүүдийн дагуу,"Маркетинг, PR, Менежмент",1350000.0,2022-12-16,"86863140, 91007751, 99109241",Сод Монгол ГруппИлүү сайхан ирээдүйн төлөө хамтдаа зүтгэе
График дизайнер," Компанийн болон брэнд бүтээгдэхүүн үйлчилгээ, идэвхижүүлэлтийн үйл ажиллагаатай холбоотой хэвлэлийн эх сошиал медиа сурталчилгааны дизайн бэлтгэх Байгууллагын дотоод дизайны ажлыг хийж гүйцэтгэх Бүтээгдэхүүний шошго, сав, баглаа боодлын загвар бэлтгэх","Дизайн, Энтертайнмент, Соёл урлаг",1650000.0,2022-12-16,"77045555, 80001721",Ти Эм Эл 
ХАНГАМЖИЙН НЯРАВ  ,"- Бараа материалыг норм стандартын дагуу  олгож анхан шатны баримтыг оновчтой үнэн зөв хөтлөх - Хариуцаж буй бараа материалын хадгалалт, хугацаанд анхаарал тавьж ажиллах - Ажлын байрны тодорхойлолтын чиг үүргийн дагуу ажиллах","Үйлдвэрлэл, Дэд бүтэц",1350000.0,2022-12-16,"99015672, 75758811-105",Глобал Бридж ГруппДэлхийг таны гарт атгуулна.
Ерөнхий нягтлан бодогч ,"    Байгууллагын санхүү, нягтлан бодох бүртгэлийг Санхүү болон нягтлан бодох бүртгэлийн олон улсын стандарт, Монгол улсын НББ-ийн тухай хууль, бусад эрхийн актуудын хүрээнд бэлтгэх, тайлагнах, бүртгэл хөтлөлтийг явуулах, НББ-ийн өдөр тутмын үйл ажиллагааг удирдлага, зохион байгуулалтаар хангах, удирдлагыг санхүүгийн мэдээллээр хангах","Банк, санхүү, нягтлан бодох бүртгэл",3500000.0,2022-12-16,99901939,"
Байгууллагын санхүү, нягтлан бодох бүртгэлийг Санхүү болон нягтлан бодох бүртгэлийн олон улсын стандарт, Монгол улсын НББ-ийн тухай хууль, бусад эрхийн актуудын хүрээнд бэлтгэх, тайлагнах, бүртгэл хөтлөлтийг явуулах, НББ-ийн өдөр тутмын үйл ажиллагааг удирдлага, зохион байгуулалтаар хангах, удирдлагыг санхүүгийн мэдээллээр хангах
"
Худалдааны төлөөлөгч ," Борлуулалтын төлөвлөгөөний дагуу идэвхижүүлэлт хийх Бараа бүтээгдэхүүн /Брэнд/-ийг харилцагчдад сурталчлан таниулах, Харилцагчаас бараа бүтээгдэхүүний захиалга авах /хариуцсан бүс сувггийн/ Харилцагчтай тооцоо нийлэх Шинээр харилцагч нээх Ажлын байрны тодорхойлолтод заасан чиг үүргийг гүйцэтгэнэ","Худалдаа, Борлуулалт",1650000.0,2022-11-29,80108400,Баясах хульж 
Нягтлан бодогч," Харилцагч байгууллагуудын төлбөр тооцоо хийнэ.  Кассын орлого зарлага гүйцэтгэнэ.  Салбар дэлгүүрүүдийн борлуулалтын тооцоог гаргах, тооцоо нийлүүлэх  Мөнгөн хөрөнгийн тайлан гаргах.  Авлага өглөгийн тооцоо нийлэх . Тооллого хийж , тооллого зохион байгуулах чадвартай. Бараа материалын тайлан гаргах.","Банк, санхүү, нягтлан бодох бүртгэл",1100000.0,2022-12-16,77773310,Ойм ногоон урлан
Худалдааны төлөөлөгч ажилд авна.,- Тогтоосон маршрутын дагуу харилцагчдаар биечлэн очих - Бүтгээгдэхүүнийг танилцуулж харилцагчдаас захиалга авах - Шинэ харилцагч нээх - Ажлын байрны тодорхойлолтод заасан бусад чиг үүргүүд,"Худалдаа, Борлуулалт",1650000.0,2022-12-13,"99020615, 77997799",Жем Интернэшнл 
Гүйцэтгэлийн ажилтан ажилд авна,Гүйцэтгэлийн цехийн ажилтны ажлын байрны тодорхойлолтод заагдсан ажил үүргийг гүйцэтгэх,"Үйлдвэрлэл, Дэд бүтэц",1650000.0,2022-12-16,70700000,Урбан Бизнес Групп 
САНХҮҮГИЙН ШИНЖЭЭЧ," Бизнесийн үр ашгийг тооцоолох, төлөвлөгөө гарган батлуулах, санхүүгийн дүн шинжилгээ хийх, тайлагнах Санхүү, хөрөнгө орлуулалтын богино болон урт хугацааны төлөвлөлтүүдийг боловсруулах, сайжруулах, хянах, дүн шинжилгээ хийх, тайлагнах Эдийн засгийн одоо, өнгөрсөн мөн үеийн мэдээллийг цуглуулан шинжилгээ хийн дүгнэж, санхүүгийн үйл ажиллагааг чиглэл бүрээр төлөвлөх Мэдээллийн баазыг үүсгэх, дүн шинжилгээ хийх, шаардлагатай зөвлөгөө мэдээллийг боловсруулах, багийн гишүүдэд танилцуулах АБТ-д заагдсан чиг үүргүүд","Банк, санхүү, нягтлан бодох бүртгэл",1950000.0,2022-12-16,"99017492, 70115054, 95037492",Брикланд 
Олон улсын боловсролын зөвлөх,"- Гадаадын сургуулиудтай харилцаж хамтран ажиллах  - Үйлчлүүлэгчидэд сургуулийн мэдээлэл болон виз мэдүүлгийн зөвлөгөө өгөх, танилцуулах - Гэрээт үйлчлүүлэгчийн виз мэдүүлэх процессийг удирдах, хяналт тавих","Боловсрол, Шинжлэх ухаан",5000000.0,2022-12-16,99026190,Европын Боловсролын Төв
Агент - Үл хөдлөх хөрөнгө зуучлагч сургаж авна," - Үл хөдлөх хөрөнгө борлуулах, хөрөнгө оруулалтын гэрээ хэлцэл хийх - Харилцагчдад үл хөдлөх хөрөнгийг танилцуулах, зөвлөгөө өгөх  - Зуучлалын түрээсийн, худалдах  гэрээ байгуулах","Барилга, Үл хөдлөх хөрөнгө",3500000.0,2022-12-16,"80100206, 80100858, 77171199",Ремакс грандҮүлнээс дээгүүр амжилтын төлөө хамтдаа
Захиалгын ажилтан," Захиалагчийн захиалгыг утсаар болон биечлэн авч захиалгын хуудас бичиж холбогдох ажилтанд захиалгыг хүлээлгэн өгөх Бүтээгдэхүүний үнийн санал, тоо ширхэг, хэмжээ, болон бусад сонирхсон мэдээллийн талаар харилцагчид мэдээлэл хүргэх Харилцагчийн захиалгыг үйлдвэрлэлийн дамжилгаар хийгдэх-д EXCEL FILE дээр бичин үйлдвэрийн мастерт хүлээлгэн өгөх Захиалсан барааг хугацаандаа үйлдвэрээс гархад хяналт тавих   Санхүү, Эдийн засагч, Математик болон Нягтлан бодох чиглэлээр их дээд сургууль төгссөн /шинэ төгсөгч/","Банк, санхүү, нягтлан бодох бүртгэл",1100000.0,2022-12-13,"9505-4018, 9405-4018, 9595-3019, 7577-0999",“Финпак” 
"Эх бэлтгэгч, Дизайнер",Ажлын байрны тодорхойлолтонд заасан ажил үүрэг гүйцэтгэнэ.,"Дизайн, Энтертайнмент, Соёл урлаг",1100000.0,2022-12-14,"9505-4018, 9405-4018, 9595-3019, 7577-0999",“Финпак” 
ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР," Бүрдүүлэлтийн олон талт сувгийг ашиглан гадаад, дотоод эх үүсвэрээс бүрдүүлэлт хийх,  Байгууллагын хүний нөөцийн бодлогыг хэрэгжүүлэхэд дэмжлэг үзүүлэх, Удирлагаас өгсөн үүрэг даалгаварыг биелүүлэх Сонгон шалгаруулалтад тэнцсэн ажил горилогчийг чиглүүлэх, компаний ажилтнуудад танилцуулах ажлыг гүйцэтгэх Сонгон шалгаруулалт бүрдүүлэлттэй холбоотой тайлан мэдээллийг цаг тухай бүр гаргаж тайлагнах","Үйлдвэрлэл, Дэд бүтэц",1350000.0,2022-12-16,88036035,Милко 
БОРЛУУЛАЛТЫН МЕНЕЖЕР," Борлуулалтын албаны үйл ажиллагааны төлөвлөгөөг боловсруулах, батлуулах Борлуулалтыг дэмжих урамшуулал,  идэвхжүүлэлтийн хөтөлбөр боловсруулж, хэрэгжүүлэн үр дүнг үнэлж, хаах Орчин үеийн зах зээлийн шинэ хандлага, шинэ аргачлал, шинэ технологийг байгууллага, албандаа нэвтрүүлэх Ажлын үр дүн, тухайн өдрийн ажлын гүйцэтгэлийг программд оруулсан эсэхэд хяналт тавьж, үр дүнг харуулах Худалдааны төлөөлөгч нарыг чиглүүлэх, ажлын гүйцэтгэлд хяналт тавих Худалдааны цэг хамралт, маршрут мөрдөлтөнд хяналт тавьж, мөрдүүлж ажиллах Зах зээлийн суурь судалгаа, үнийн судалгаа, өрсөлдөгчийн судалгаа хийх, тайлагнах","Худалдаа, Борлуулалт",1650000.0,2022-12-16,88036035,Милко 
ҮХХ Борлуулалт хариуцсан захирал, Өөрийн багийг бүрдүүлэх Менежментийн түвшинд ажиллах Удирдах арга барилд суралцах Үндсэн цалин: 80% нь гүйцэтгэлээс хамаарна Үндсэн хөрөнгөгүйгээр бие даасан оффисын түвшинд ажиллах зэрэг давуу талтай,"Маркетинг, PR, Менежмент",3500000.0,2022-12-16,77772077,РЕМАКС ПлатинМонголын №1 Брокер оффис
Түгээлтийн жолооч,"-Тогтоосон маршрутын дагуу ""Өд"" ариун цэврийн цаас, ""Тоди"" хүүхдийн живх зэрэг бүтээгдэхүүнийг харилцагч дэлгүүрүүдэд түгээх -Бүтээгдэхүүнийг стандартын дагуу өрж хураах, ачиж буулгах -Харилцагч байгууллагатай зөв боловсон харилцах, бүтээгдэхүүнийг тоо ёсоор хүлээлгэн өгөх  -Өөрийн хариуцсан автомашины ариун цэвэр, техникийн бүрэн бүтэн байдлыг хариуцан ажиллах  -Хөдөлмөрийн аюулгүй байдал эрүүл ахуйн шаардлагыг биелүүлж ажиллах","Тээвэр, гааль, агуулах",1350000.0,2022-12-09,88044327,Тнгри инвест 
ҮЙЛЧЛЭГЧ,- Барилгын талбайн орон сууцны нийтийн хэсгийг цэвэрлэх - Мөн ажлын байрны тодорхойлолтод заагдсан ажил үүрэг гүйцэтгэнэ,"Барилга, Үл хөдлөх хөрөнгө",1350000.0,2022-12-16,94052003,Таван Богд Проперти 
ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР ," Хүний нөөцийн бодлогын баримт бичиг шинэчлэл, сайжруулалт; Хүний нөөцийн бүрдүүлэлт ба сонгон шалгаруулалт; Хөдөлмөрийн харилцаа; Ажилтнуудын идэвхжүүлэлт; Ажлын байрны тодорхойлолтод заасан бусад чиг үүрэг;","Захиргаа, Хүний нөөц",1350000.0,2022-12-16,"75553000, 94102363, hr@caffebene.mn",Каппэ Бэнэ Монголиа 
Үйл ажиллагааны менежер ,"- Орон сууц хүлээлгэн өгөхтэй холбоотой ажлуудыг хийж гүйцэтгэх - Цэвэрлэгээ, үйлчилгээ, харуул хамгаалалтын ажилтнуудыг удирдлага, зохион байгуулалтаар хангах, ажил үүргийг чиглүүлэх, хяналт тавих - Бусад","Барилга, Үл хөдлөх хөрөнгө",1650000.0,2022-12-16,94052003,Таван Богд Проперти 
Авто засварчин,"Техник тоног төхөөрөмжийн засвар үйлчилгээ, үзлэг оношилгоо хийх Ажлын байрны тодорхойлолтын дагуу үндсэн үүрэг гүйцэтгэнэ.",Автомашины засвар үйлчилгээ,1350000.0,2022-12-16,"70116000, 94006698, 94008716","Дрийм интерпрайзАмжилтын оргил дээр тугаа мандуулна, хамт олноороо"
Худалдааны төлөөлөгч,"Бараа бүтээгдэхүүнийг борлуулж худалдах, шинээр харилцагч нээх, барааг харилцагчид суртчилан таниулах, өрөлт хураалт хийх, борлуулалтын сар бүрийн идэвхжүүлэлтийг хийх, борлуулалтын тайлан тооцоог цаг тухайд нь хийх, борлуулалтын төлөвлөгөөг ханган ажиллах","Худалдаа, Борлуулалт",1350000.0,2022-12-16,"70116000, 94006698, 94008716","Дрийм интерпрайзАмжилтын оргил дээр тугаа мандуулна, хамт олноороо"
Тийз захиалгын ажилтан,"- Олон улсын онгоцны тийз борлуулах - Системд суралцах, хэрэглэгчдэд хүссэн чиглэлд хамгийн хямд тийзийг санал болгох - Утасны дуудлагад хариулах","Аялал жуулчлал, зочид буудал",1100000.0,2022-12-16,"70116000, 94006698, 94008716","Дрийм интерпрайзАмжилтын оргил дээр тугаа мандуулна, хамт олноороо"
Гадаад харилцааны ажилтан Хятад хэлтэй,"- Бараа бүтээгдэхүүний захиалга хийх, гадаад түншүүдтэй тогтмол харилцаатай ажиллах, бараа бүтээгдэхүүн судлах -Тоног төхөөрөмж, бараа бүтээгдэхүүний захиалга хийж гадаад түншүүдтэй тогтмол харилцаа холбоотой ажиллах, шинэ технологи судлах, худалдааны гэрээ байгуулах -Албан тушаалын тодорхойлолтын дагуу бусад ажил үүргүүдийг хийж гүйцэтгэх","Худалдаа, Борлуулалт",1350000.0,2022-12-16,"70116000, 94006698, 94008716","Дрийм интерпрайзАмжилтын оргил дээр тугаа мандуулна, хамт олноороо"
Оффисын харуул ,"Байгууллагын имиж бүрдэлтийг хангаж, зочин нэвтрэх хэсгийн хэвийн аюулгүй байдлыг хангах Бүртгэл хийх, утсаар мэдээллэх Зочин нэвтрэх хэсэгт хяналт тавих Аж ахуйн ажилд туслах",Үйлчилгээ,1100000.0,2022-12-16,"88066716, 86767672, 70114544",Мөнхийн Үсэг 
Маркетингийн ахлах менежер,"-Компанийн маркетингийн бодлогод тулгуурлан маркетингийн стратеги төлөвлөгөө гаргах, төлөвлөгөөний хэрэгжилтийг хангах  -Дижитал болон уламжлалт сувгуудад холбогдох сигмэнтүүдийг тодорхойлж, оновчтой идвэхжүүлэлт болон маркетингийн ажлуудыг хэрэгжүүлэх -Маркетингийн багийг үйл ажиллагааны хүрээнд чиг үүргийн удирдлагаар хангаж, манлайлан ажиллах  -Байгууллагын зах зээлд эзлэх байр суурийг нэмэгдүүлэх","Маркетинг, PR, Менежмент",2300000.0,2022-12-16,"70116000, 94006698, 94008716","Дрийм интерпрайзАмжилтын оргил дээр тугаа мандуулна, хамт олноороо"
Тээврийн мэргэжилтэн,- Олон улсын тээвэр зуучийн компанид улс хоорондын тээвэр зохион байгуулах - Албан тушаалын тодорхойлолтын дагуу ажил үүргүүд гүйцэтгэнэ,"Тээвэр, гааль, агуулах",1100000.0,2022-12-16,"70116000, 94006698, 94008716","Дрийм интерпрайзАмжилтын оргил дээр тугаа мандуулна, хамт олноороо"
"Гадаад харилцааны ажилтан Орос, Турк хэлтэй","- Бараа бүтээгдэхүүний захиалга хийх, гадаад түншүүдтэй тогтмол харилцаатай ажиллах, бараа бүтээгдэхүүн судлах -Тоног төхөөрөмж, бараа бүтээгдэхүүний захиалга хийж гадаад түншүүдтэй тогтмол харилцаа холбоотой ажиллах, шинэ технологи судлах, худалдааны гэрээ байгуулах -Албан тушаалын тодорхойлолтын дагуу бусад ажил үүргүүдийг хийж гүйцэтгэх","Тээвэр, гааль, агуулах",1350000.0,2022-12-16,"70116000, 94006698, 94008716","Дрийм интерпрайзАмжилтын оргил дээр тугаа мандуулна, хамт олноороо"
Гадаад харилцааны ажилтан (Солонгос хэлтэй),"- Бараа бүтээгдэхүүний захиалга хийх, гадаад түншүүдтэй тогтмол харилцаатай ажиллах, бараа бүтээгдэхүүн судлах -Тоног төхөөрөмж, бараа бүтээгдэхүүний захиалга хийж гадаад түншүүдтэй тогтмол харилцаа холбоотой ажиллах, шинэ технологи судлах, худалдааны гэрээ байгуулах -Албан тушаалын тодорхойлолтын дагуу бусад ажил үүргүүдийг хийж гүйцэтгэх","Худалдаа, Борлуулалт",1350000.0,2022-12-16,"70116000, 94006698, 94008716","Дрийм интерпрайзАмжилтын оргил дээр тугаа мандуулна, хамт олноороо"
